heure,pseudo,contexte,composant,evenement
2024-01-07 11:33:06,425,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours modifiée
2024-01-07 11:33:25,425,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours modifiée
2024-01-07 11:33:30,425,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours créée
2024-01-07 11:33:36,425,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours modifiée
2024-01-07 11:33:56,425,Forum: Annonces,Système,Module de cours modifié
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
2024-01-07 11:41:23,425,Forum: Forum pour poser vos questions,Forum,Abonnement créé
